"","paper_id","reform_id","estimate_id","authors","paper_name","title","year","journal","impact_factor","url","pbd_vs_rr","margin_outcome_identifier","margin_outcome_sample_size","research_design","running_var","reform_size","reform_units","coef_type_nonemp","reg_outcome_nonemp","level_partial_effect_nonemp","raw_coef_nonemp","raw_se_nonemp","implied_elasticity_nonemp","source_nonemp","description_nonemp","coef_type_claimed","reg_outcome_claimed","level_partial_effect_claimed","raw_coef_claimed","raw_se_claimed","implied_elasticity_claimed","source_claimed","description_claimed","sample_size_unique","other_elasticity_nonemp","other_elasticity_details_nonemp","other_elasticity_claimed","other_elasticity_details_claimed","other_elasticities_preferred","estimate_label","include","mean_nonemp_dur","mean_claimed_dur","mean_pbd","mean_rr","pbd_source","rr_source","eyeballed_hazard_mean","eyeballed_hazard_range","admin","sample_year_range","sample_year","sample_country","us_country","sample_state","country_tax_wedge","macro_treatment","ue_contemporaneous","ue_rate_avg_91_21","ue_deviation","estimates_per_study_margin","estimate_study_num","paper_name_long","design_DID","design_RDD_RKD","PBD_indicator","impact_factor_z","ue_measure","elasticity","se","tstat","hazard","ue_measure_nonemp"
"27",20,20,4,"H Bennmarker, K Carling, B Holmlund","Bennmarker et al '07 LABOUR","Do benefit hikes damage job finding? Evidence from Swedish unemployment insurance reforms",2007,"LABOUR",7.357,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9914.2006.00363.x","RR","Women Group B",9654,"DID","Prior earnings","5.0","percentage points","log-log","hazard",NA,0.164,NA,-1.95,"Table 6 Row 1 Column 4, Table 3 Row 6 Columns 1 and 5, Table 7 Row 7 Column 4","Convert two-sided p-value to t-statistic using inverse normal. Scale percent change in total duration by percent change in post-20 week benefits.",NA,NA,NA,NA,NA,NA,NA,NA,"9654.0",NA,NA,NA,NA,NA,"Women Group B","Yes",NA,NA,60,0.75,"Rules-based, Section 2.1 (published pg 88)","Sample-based (Table 3)",NA,NA,1,"2002.0",2002,"Sweden",0,NA,42.5686,0,4.97,7.3441935483871,-2.3741935483871,6,4,"Bennmarker et al '07 LABOUR(Women Group B)",1,0,0,-0.934000071138271,"nonemp",-1.95,1.12486685145768,-1.733538505,1,TRUE
"28",20,20,5,"H Bennmarker, K Carling, B Holmlund","Bennmarker et al '07 LABOUR","Do benefit hikes damage job finding? Evidence from Swedish unemployment insurance reforms",2007,"LABOUR",7.357,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9914.2006.00363.x","RR","Women Group C",3098,"DID","Prior earnings","9.0","percentage points","log-log","hazard",NA,0.243,NA,-1.276,"Table 6 Row 2 Column 4, Table 3 Row 7 Columns 1 and 5, Table 7 Row 8 Column 4","Convert two-sided p-value to t-statistic using inverse normal. Scale percent change in total duration by percent change in post-20 week benefits.",NA,NA,NA,NA,NA,NA,NA,NA,"3098.0",NA,NA,NA,NA,NA,"Women Group C","Yes",NA,NA,60,0.66,"Rules-based, Section 2.1 (published pg 88)","Sample-based (Table 3)",NA,NA,1,"2002.0",2002,"Sweden",0,NA,42.5686,0,4.97,7.3441935483871,-2.3741935483871,6,5,"Bennmarker et al '07 LABOUR(Women Group C)",1,0,0,-0.934000071138271,"nonemp",-1.276,0.728857114750121,-1.750686073,1,TRUE
"29",20,20,6,"H Bennmarker, K Carling, B Holmlund","Bennmarker et al '07 LABOUR","Do benefit hikes damage job finding? Evidence from Swedish unemployment insurance reforms",2007,"LABOUR",7.357,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9914.2006.00363.x","RR","Women Group D",3708,"DID","Prior earnings","10.0","percentage points","log-log","hazard",NA,0.315,NA,-1.3039,"Table 6 Row 3 Column 4, Table 3 Row 8 Columns 1 and 5, Table 7 Row 9 Column 4","Convert two-sided p-value to t-statistic using inverse normal. Scale percent change in total duration by percent change in post-20 week benefits.",NA,NA,NA,NA,NA,NA,NA,NA,"3708.0",NA,NA,NA,NA,NA,"Women Group D","Yes",NA,NA,60,0.59,"Rules-based, Section 2.1 (published pg 88)","Sample-based (Table 3)",NA,NA,1,"2002.0",2002,"Sweden",0,NA,42.5686,0,4.97,7.3441935483871,-2.3741935483871,6,6,"Bennmarker et al '07 LABOUR(Women Group D)",1,0,0,-0.934000071138271,"nonemp",-1.3039,0.573537488750776,-2.27343465,1,TRUE
"30",24,24,1,"I Petrunyk, C Pfeifer","Petrunyk & Pfeifer '22 BER","Potential duration of unemployment benefits and labor market outcomes for older workers with health impairments in Germany",2022,"Bulletin of Economic Research",4.265,"https://onlinelibrary.wiley.com/doi/10.1111/boer.12343","PBD",NA,NA,"DID","age","Varies by age","PBD","level-level","duration",0.03166666667,0.95,0.16,0.08914371402,"Tabe 3 Column 4 bottom panel and Table 1 Column 2","Scale employment effect by average employment count and median baseline duration when sorted by age",NA,NA,NA,NA,NA,NA,NA,NA,"94990.0",NA,NA,NA,NA,NA,"Unique","Yes",NA,NA,93.63280378,0.6,"Sample-based, combine pre-reform PBD by age in Table 1 with post-reform sample size by age in Table 2. The 14-month reduction is pooled with 52-54 year olds with baseline 26 months and 57+ with baseline 32 months, so assume all 57+. Translate to weeks by multiplying by 4.","Rules-based, UB-1 replacement rate for singles (Section 2)",NA,NA,1,"2006.0",2006,"Germany",0,NA,48.09457,0,10.2527717,5.44865136740741,4.80412033259259,1,1,"Petrunyk & Pfeifer '22 BER(NA)",1,0,1,-1.01720023443304,"nonemp",0.08914371402,0.0150136781507368,5.9375,0,TRUE
"31",30,30,1,"JC Van Ours, M Vodopivec","Van Ours & Vodopivec '06 JOLE","How shortening the potential duration of unemployment benefits affects the duration of unemployment: Evidence from a natural experiment",2006,"Journal of Labor Economics",52.902,"https://www.journals.uchicago.edu/doi/abs/10.1086/499976","PBD",NA,NA,"DID","age and experience","44994.0","months","log-level","hazard",0.1833333333,0.18,0.05294117647,0.4150943396,"Table 5 Row 1","Rescaled elasticity",NA,NA,NA,NA,NA,NA,NA,NA,"20049.0",NA,NA,NA,NA,NA,"Unique","Yes",21.2,NA,38.4,0.7,"Sample-based, unweighted average PBD across schedule segments, following choice in Figure 2 of working paper version (Table 2 Column 1)","Rules-based, first 3 months RR (Section V)",0.08,0.15,1,"1998.0",1998,"Slovenia",0,NA,43.60614,1,7.39,6.84590322580645,0.544096774193548,1,1,"Van Ours & Vodopivec '06 JOLE(NA)",1,0,1,0.29153402888128,"nonemp",0.4150943396,0.122086570470588,3.4,1,TRUE
"32",32,31,1,"JF Schmieder, T von Wachter, S Bender","Schmieder et al '12 QJE","The Effects of Extended Unemployment Insurance Over the Business Cycle: Evidence from Regression Discontinuity Estimates Over 20 Years",2012,"The Quarterly Journal of Economics",156.504,"https://academic.oup.com/qje/article/127/2/701/1825004#84588551","PBD","Age 42",452749,"RDD","age","6.0","months","level-level","duration",0.13,0.78,0.086,0.1006451613,"Table 2 Column 1 Panel B, Figure 1, Table W-1 Row 2 Column 1","Scale partial effect by control PBD and duration","level-level","duration",0.3,"1.78",0.036,0.5294117647,"Table 2 Column 1 Panel A, Figure 1, Table W-1 Row 2 Column 1","Scale partial effect by control PBD and duration","452749.0",NA,NA,NA,NA,NA,"Age 42","Yes",58,26,48,0.63,"Rules-based (Figure I, published pg 712)","Rules-based, single earner (Section IIIA, published pg 711)",0.04,0.1,1,"1987-1999",1993,"Germany",0,NA,48.09457,0,7.86941346,5.44865136740741,2.42076209259259,3,1,"Schmieder et al '12 QJE(Age 42)",0,1,1,3.07927766331372,"nonemp",0.1006451613,0.0110967741944447,9.069767442,0,TRUE
"33",32,31,1,"JF Schmieder, T von Wachter, S Bender","Schmieder et al '12 QJE","The Effects of Extended Unemployment Insurance Over the Business Cycle: Evidence from Regression Discontinuity Estimates Over 20 Years",2012,"The Quarterly Journal of Economics",156.504,"https://academic.oup.com/qje/article/127/2/701/1825004#84588551","PBD","Age 42",452749,"RDD","age","6.0","months","level-level","duration",0.13,0.78,0.086,0.1006451613,"Table 2 Column 1 Panel B, Figure 1, Table W-1 Row 2 Column 1","Scale partial effect by control PBD and duration","level-level","duration",0.3,"1.78",0.036,0.5294117647,"Table 2 Column 1 Panel A, Figure 1, Table W-1 Row 2 Column 1","Scale partial effect by control PBD and duration","452749.0",NA,NA,NA,NA,NA,"Age 42","Yes",58,26,48,0.63,"Rules-based (Figure I, published pg 712)","Rules-based, single earner (Section IIIA, published pg 711)",0.04,0.1,1,"1987-1999",1993,"Germany",0,NA,48.09457,0,7.86941346,5.44865136740741,2.42076209259259,3,1,"Schmieder et al '12 QJE(Age 42)",0,1,1,3.07927766331372,"claimed",0.5294117647,0.0107072042308501,49.44444444,0,FALSE
"34",32,31,2,"JF Schmieder, T von Wachter, S Bender","Schmieder et al '12 QJE","The Effects of Extended Unemployment Insurance Over the Business Cycle: Evidence from Regression Discontinuity Estimates Over 20 Years",2012,"The Quarterly Journal of Economics",156.504,"https://academic.oup.com/qje/article/127/2/701/1825004#84588551","PBD","Age 44",450280,"RDD","age","4.0","months","level-level","duration",0.1,0.41,0.089,0.1090909091,"Table 2 Column 1 Panel B, Figure 1, Table W-1 Row 2 Column 2","Scale partial effect by control PBD and duration","level-level","duration",0.26,"1.04",0.047,0.5318181818,"Table 2 Column 1 Panel A, Figure 1, Table W-1 Row 2 Column 2","Scale partial effect by control PBD and duration","450280.0",NA,NA,NA,NA,NA,"Age 44","Yes",58,26,72,0.63,"Rules-based (Figure I, published pg 712)","Rules-based, single earner (Section IIIA, published pg 711)",NA,NA,1,"1987-1999",1993,"Germany",0,NA,48.09457,0,7.86941346,5.44865136740741,2.42076209259259,3,2,"Schmieder et al '12 QJE(Age 44)",0,1,1,3.07927766331372,"nonemp",0.1090909091,0.0236807095365147,4.606741573,0,TRUE
"35",32,31,2,"JF Schmieder, T von Wachter, S Bender","Schmieder et al '12 QJE","The Effects of Extended Unemployment Insurance Over the Business Cycle: Evidence from Regression Discontinuity Estimates Over 20 Years",2012,"The Quarterly Journal of Economics",156.504,"https://academic.oup.com/qje/article/127/2/701/1825004#84588551","PBD","Age 44",450280,"RDD","age","4.0","months","level-level","duration",0.1,0.41,0.089,0.1090909091,"Table 2 Column 1 Panel B, Figure 1, Table W-1 Row 2 Column 2","Scale partial effect by control PBD and duration","level-level","duration",0.26,"1.04",0.047,0.5318181818,"Table 2 Column 1 Panel A, Figure 1, Table W-1 Row 2 Column 2","Scale partial effect by control PBD and duration","450280.0",NA,NA,NA,NA,NA,"Age 44","Yes",58,26,72,0.63,"Rules-based (Figure I, published pg 712)","Rules-based, single earner (Section IIIA, published pg 711)",NA,NA,1,"1987-1999",1993,"Germany",0,NA,48.09457,0,7.86941346,5.44865136740741,2.42076209259259,3,2,"Schmieder et al '12 QJE(Age 44)",0,1,1,3.07927766331372,"claimed",0.5318181818,0.0240340909131223,22.12765957,0,FALSE
"36",32,31,3,"JF Schmieder, T von Wachter, S Bender","Schmieder et al '12 QJE","The Effects of Extended Unemployment Insurance Over the Business Cycle: Evidence from Regression Discontinuity Estimates Over 20 Years",2012,"The Quarterly Journal of Economics",156.504,"https://academic.oup.com/qje/article/127/2/701/1825004#84588551","PBD","Age 49",329680,"RDD","age","4.0","months","level-level","duration",0.11,0.43,0.11,0.1260416667,"Table 2 Column 1 Panel B, Figure 1, Table W-1 Row 2 Column 4","Scale partial effect by control PBD and duration","level-level","duration",0.35,"1.4",0.074,0.6814159292,"Table 2 Column 1 Panel A, Figure 1, Table W-1 Row 2 Column 4","Scale partial effect by control PBD and duration","329680.0",NA,NA,NA,NA,NA,"Age 49","Yes",58,26,88,0.63,"Rules-based (Figure I, published pg 712)","Rules-based, single earner (Section IIIA, published pg 711)",NA,NA,1,"1987-1999",1993,"Germany",0,NA,48.09457,0,7.86941346,5.44865136740741,2.42076209259259,3,3,"Schmieder et al '12 QJE(Age 49)",0,1,1,3.07927766331372,"nonemp",0.1260416667,0.0322432170635405,3.909090909,0,TRUE
"37",32,31,3,"JF Schmieder, T von Wachter, S Bender","Schmieder et al '12 QJE","The Effects of Extended Unemployment Insurance Over the Business Cycle: Evidence from Regression Discontinuity Estimates Over 20 Years",2012,"The Quarterly Journal of Economics",156.504,"https://academic.oup.com/qje/article/127/2/701/1825004#84588551","PBD","Age 49",329680,"RDD","age","4.0","months","level-level","duration",0.11,0.43,0.11,0.1260416667,"Table 2 Column 1 Panel B, Figure 1, Table W-1 Row 2 Column 4","Scale partial effect by control PBD and duration","level-level","duration",0.35,"1.4",0.074,0.6814159292,"Table 2 Column 1 Panel A, Figure 1, Table W-1 Row 2 Column 4","Scale partial effect by control PBD and duration","329680.0",NA,NA,NA,NA,NA,"Age 49","Yes",58,26,88,0.63,"Rules-based (Figure I, published pg 712)","Rules-based, single earner (Section IIIA, published pg 711)",NA,NA,1,"1987-1999",1993,"Germany",0,NA,48.09457,0,7.86941346,5.44865136740741,2.42076209259259,3,3,"Schmieder et al '12 QJE(Age 49)",0,1,1,3.07927766331372,"claimed",0.6814159292,0.036017699112799,18.91891892,0,FALSE
"38",33,31,1,"JF Schmieder, T von Wachter, S Bender","Schmieder et al '16 AER","The effect of unemployment benefits and nonemployment durations on wages",2016,"American Economic Review",72.613,"https://www.aeaweb.org/articles?id=10.1257/aer.20141566","PBD",NA,NA,"RDD","age","45022.0","months","level-level","duration",0.14,0.14,0.029,0.1329113924,"Table 1 Column 2 Panel B","Scale effect by outcome and average of unemp duration","level-level","duration",0.29,"0.29",0.0081,0.5222088836,"Table 1 Column 1 Panel B","Scale effect by outcome and average of claimed duration","947068.0",NA,NA,NA,NA,NA,"Unique","Yes",63.2,33.32,59.05170062,0.63,"Sample-based, weighted average of control PBD using RD observation counts (Table 1 column 1)","Rules-based, single earner (Section 2.1, accepted pg 7)",NA,NA,1,"1987-1999",1993,"Germany",0,NA,48.09457,0,7.86941346,5.44865136740741,2.42076209259259,1,1,"Schmieder et al '16 AER(NA)",0,1,1,0.821921615784022,"nonemp",0.1329113924,0.0275316455679815,4.827586207,0,TRUE
"39",33,31,1,"JF Schmieder, T von Wachter, S Bender","Schmieder et al '16 AER","The effect of unemployment benefits and nonemployment durations on wages",2016,"American Economic Review",72.613,"https://www.aeaweb.org/articles?id=10.1257/aer.20141566","PBD",NA,NA,"RDD","age","45022.0","months","level-level","duration",0.14,0.14,0.029,0.1329113924,"Table 1 Column 2 Panel B","Scale effect by outcome and average of unemp duration","level-level","duration",0.29,"0.29",0.0081,0.5222088836,"Table 1 Column 1 Panel B","Scale effect by outcome and average of claimed duration","947068.0",NA,NA,NA,NA,NA,"Unique","Yes",63.2,33.32,59.05170062,0.63,"Sample-based, weighted average of control PBD using RD observation counts (Table 1 column 1)","Rules-based, single earner (Section 2.1, accepted pg 7)",NA,NA,1,"1987-1999",1993,"Germany",0,NA,48.09457,0,7.86941346,5.44865136740741,2.42076209259259,1,1,"Schmieder et al '16 AER(NA)",0,1,1,0.821921615784022,"claimed",0.5222088836,0.0145858343333244,35.80246914,0,FALSE
"40",35,35,1,"JM Arranz, F Munoz-Bullon, J Muro","Arranz et al '09 MyC","Do unemployment benefit legislative changes affect job finding?",2009,"Moneda Y Credito",0.395,"https://www.academia.edu/download/4461778/add70344_bjjlrongxs.pdf","RR",NA,NA,"cross-sectional",NA,"10.0","RR",NA,NA,NA,NA,NA,NA,"Table 7 Column 4",NA,"log-level","hazard",NA,"0.054",0.016,0.4438768172,"Table 7 Column 4","Hazard scaled by proportional benefit change. Footnote 17 incorrectly states the change in hazard was 10 percent, rather than the estimated coefficient: ""The 10 per cent cut in the UI benefit level corresponds to a 12.5 per cent reduction in benefits (10/80=0.125). For a 10 per cent increase in the hazard rate, the implied elasticity is 0.8 (10/12.5=0.8).""","721803.0",NA,NA,NA,NA,NA,"Unique","Yes",NA,37.46714286,45.54857143,0.8,"Sample-based (Table 3 Column 1)","Sample-based (Section 2)",0.02,0.03,1,"1992.0",1992,"Spain",0,NA,39.25475,1,17.7,17.0135483870968,0.686451612903227,1,1,"Arranz et al '09 MyC(NA)",0,0,0,-1.12133497956589,"claimed",0.4438768172,0.131519056948148,3.375,1,FALSE
"41",36,36,1,"JM Poterba, LH Summers","Poterba & Summers '95 RESTAT","Unemployment benefits and labor market transitions: A multinomial logit model with errors in classification",1995,"The Review of Economics and Statistics",47.587,"https://www.jstor.org/stable/2109860","RR",NA,NA,"cross-sectional",NA,NA,NA,"logit","hazard",0.765,-1.189,0.513,0.3566433566,"Table 4 for elasticity, Table 3 Column 2 Row 4 for logit effect with SE","Derivative scaled by ""indomitable worker"" duration (i.e. expected time unemployed if only exit is to employment) and 50% replacement rate",NA,NA,NA,NA,NA,NA,NA,NA,"908.0",NA,NA,NA,NA,NA,"Unique","Yes",NA,NA,27.02,0.44,"External data (DOL ETA for US in 1976)","External data (DOL report for US in 1976)",NA,NA,0,"1976.0",1976,"USA",1,NA,28.40886,0,7.7,6.12299382716049,1.57700617283951,1,1,"Poterba & Summers '95 RESTAT(NA)",0,0,0,0.14851693059159,"nonemp",0.3566433566,0.153875560949698,2.317738791,1,TRUE
"42",37,37,1,"JT Addison, P Portugal","Addison & Portugal '08 EL","How do different entitlements to unemployment benefits affect the transitions from unemployment into employment?",2008,"Economics Letters",9.867,"https://www.sciencedirect.com/science/article/pii/S0165176508002334","PBD",NA,NA,"DID","age","3.0","months","log-level","hazard",3.081707433,0.531,0.23,1.080875556,"Table 2","Hazard conversion divided by 3-month policy change",NA,NA,NA,NA,NA,NA,NA,NA,"35368.0",NA,NA,NA,NA,NA,"Unique","Yes",57.4,NA,20.13242927,0.65,"Sample-based, weighted average of the multiples of 5 year bands starting with age 24 using the PBD rules (Table 1 Column 2 and Section 2)","Rules-based, subject to a minimum and cap",NA,NA,0,"1992-1997",1994,"Portugal",0,NA,41.83687,0,6.71,7.84258064516129,-1.13258064516129,1,1,"Addison & Portugal '08 EL(NA)",1,0,1,-0.86646048191774,"nonemp",1.080875556,0.468175852916623,2.308695652,1,TRUE
"43",38,38,1,"K Carling, PA Edin, A Harkman, B Holmlund","Carling et al '96 JPubEc","Unemployment duration, unemployment benefits, and labor market programs in Sweden",1996,"Journal of Public Economics",37.117,"https://www.sciencedirect.com/science/article/pii/0047272795014993","RR",NA,NA,"cross-sectional",NA,NA,NA,"log-level","hazard",NA,-0.119,0.034,0.06,"Text (pg 327) for elasticity, Table 3 Column 1 Row UI for SE","Given",NA,NA,NA,NA,NA,NA,NA,NA,"12098.0",NA,NA,NA,NA,NA,"Unique","Yes",NA,13.57142857,60,0.9,"Rules-based, Section 3 (published pg 322)","Rules-based, up to cap (Section 3, published pg 322)",0.1,0.1,1,"1991.0",1991,"Sweden",0,NA,42.5686,0,3.24,7.3441935483871,-4.1041935483871,1,1,"Carling et al '96 JPubEc(NA)",0,0,0,-0.133211953527516,"nonemp",0.06,0.0171428571428571,3.5,1,TRUE
"44",39,39,1,"K Carling, B Holmlund, A Vejsiu","Carling et al '01 EJ","Do benefit cuts boost job finding? Swedish evidence from the 1990s",2001,"The Economic Journal",42.797,"https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-0297.00659","RR",NA,NA,"DID","prior earnings","5.0","RR","log-level","hazard",0.5313421676,0.116,0.057,1.967933954,"Table 4 Column 4 Row DPOL and text (footnote 19)","Scale policy effect on hazard by the % change in benefits",NA,NA,NA,NA,NA,NA,NA,NA,"18429.0",NA,NA,NA,NA,NA,"Unique","Yes",21.6,NA,60,0.8,"Rules-based (Section 1, published pg 768)","Rules-based (abstract)",0.11,0.08,1,"1996.0",1996,"Sweden",0,NA,42.5686,0,9.55,7.3441935483871,2.2058064516129,1,1,"Carling et al '01 EJ(NA)",1,0,0,0.0196266388121711,"nonemp",1.967933954,0.967002029262406,2.035087719,1,TRUE
"45",40,40,1,"K Kroft, MJ Notowidigdo","Kroft & Notowidigdo '16 RESTUD","Should unemployment insurance vary with the unemployment rate? Theory and evidence",2016,"The Review of Economic Studies",58.563,"https://academic.oup.com/restud/article-abstract/83/3/1092/2461292","RR",NA,NA,"cross-sectional",NA,NA,NA,"log-log","hazard",NA,-0.632,0.332,0.632,"Table 2 Column 1 Row 1","Transform hazard effect",NA,NA,NA,NA,NA,NA,NA,NA,"4307.0",NA,NA,NA,NA,NA,"Unique","Yes",18.51,NA,26.1525,0.4059827916,"External data (DOL ETA for US from 1985-2000)","Sample-based, overall average (Table 1 Panel A)",NA,NA,0,"1985-2000",1992,"USA",1,NA,28.40886,0,7.49166666666667,6.12299382716049,1.36867283950617,1,1,"Kroft & Notowidigdo '16 RESTUD(NA)",0,0,0,0.44386136536631,"nonemp",0.632,0.331999999970582,1.903614458,1,TRUE
"46",41,41,1,"K Roed, L Westlie","Roed & Westlie '12 JEEA","Unemployment insurance in welfare states: the impacts of soft duration constraints",2012,"Journal of The European Economic Association",46.069,"https://academic.oup.com/jeea/article-abstract/10/3/518/2298448","PBD",NA,NA,"DID","prior earnings","30.0","weeks","log-level","hazard",NA,1.61,0.05803955288,1.716142945,"Table 4 Column 2","Transform model simulated effect by change in max PBD for high enough earners. Scale CI by 2.326 z-score for 98% CI.",NA,NA,NA,NA,NA,NA,NA,NA,"665068.0",NA,NA,NA,NA,NA,"Unique","Yes",33.68,NA,173,0.624,"Rules-based, Regime I used as counterfactual in main estimate (Table 1 Row 1)","Rules-based, up to cap (Section 3 published pg 523)",NA,NA,1,"1997.0",1997,"Norway",0,NA,35.95625,0,4.69,4.11161290322581,0.578387096774194,1,1,"Roed & Westlie '12 JEEA(NA)",1,0,1,0.107670278624752,"nonemp",1.716142945,0.0618659436149637,27.7397037,1,TRUE
"47",42,41,1,"K Roed, T Zhang","Roed & Zhang '03 EJ","Does unemployment compensation affect unemployment duration?",2003,"The Economic Journal",42.797,"https://academic.oup.com/ej/article-abstract/113/484/190/5079524","RR","Men",60226,"cross-sectional",NA,NA,NA,"log-level","hazard",NA,-0.9463,0.1642,0.9545,"Table 4 Column 1 Row 1 first panel","Given",NA,NA,NA,NA,NA,NA,NA,NA,"60226.0",NA,NA,NA,NA,NA,"Men","Yes",NA,NA,173,0.53,"Rules-based, Section 2 (published pg 192)","Rules-based (Table 1)",NA,NA,1,"1990-1999",1994,"Norway",0,NA,35.95625,0,5.35,4.11161290322581,1.23838709677419,2,1,"Roed & Zhang '03 EJ(Men)",0,0,0,0.0196266388121711,"nonemp",0.9545,0.165622846879132,5.763093788,1,TRUE
"48",42,41,2,"K Roed, T Zhang","Roed & Zhang '03 EJ","Does unemployment compensation affect unemployment duration?",2003,"The Economic Journal",42.797,"https://academic.oup.com/ej/article-abstract/113/484/190/5079524","RR","Women",42879,"cross-sectional",NA,NA,NA,"log-level","hazard",NA,-0.3492,0.191,0.3423,"Table 4 Column 1 Row 1 second panel","Given",NA,NA,NA,NA,NA,NA,NA,NA,"42879.0",NA,NA,NA,NA,NA,"Women","Yes",NA,NA,173,0.51,"Rules-based, Section 2 (published pg 192)","Rules-based (Table 1)",NA,NA,1,"1990-1999",1994,"Norway",0,NA,35.95625,0,5.35,4.11161290322581,1.23838709677419,2,2,"Roed & Zhang '03 EJ(Women)",0,0,0,0.0196266388121711,"nonemp",0.3423,0.187225945048815,1.828272251,1,TRUE
"49",43,42,1,"K Roed, P Jensen, A Thoursie","Roed et al '08 OEP","Unemployment duration and unemployment insurance: a comparative analysis based on Scandinavian micro data",2008,"Oxford Economic Papers",14.222,"https://academic.oup.com/oep/article-abstract/60/2/254/2361983","RR","Norway",35969,"cross-sectional",NA,NA,NA,"log-log","hazard",NA,-1.07,0.15,1.07,"Table 2 Column 1 Row 1","Exponentiate hazard effect, noting that the covariate is actually log RR",NA,NA,NA,NA,NA,NA,NA,NA,"35969.0",NA,NA,NA,NA,NA,"Norway","Yes",NA,NA,60,0.8,"Rules-based (Section 2 published pg 4)","Rules-based (Section 2 published pg 4)",0.0986,0.14,1,"1999.0",1999,"Norway",0,NA,35.95625,0,3.25,4.11161290322581,-0.861612903225806,2,1,"Roed et al '08 OEP(Norway)",0,0,0,-0.749275258389688,"nonemp",1.07,0.150000000007009,7.133333333,1,TRUE
"50",43,41,2,"K Roed, P Jensen, A Thoursie","Roed et al '08 OEP","Unemployment duration and unemployment insurance: a comparative analysis based on Scandinavian micro data",2008,"Oxford Economic Papers",14.222,"https://academic.oup.com/oep/article-abstract/60/2/254/2361983","RR","Sweden",291229,"cross-sectional",NA,NA,NA,"log-log","hazard",NA,-0.47,0.09,0.47,"Table 2 Column 2 Row 1","Exponentiate hazard effect, noting that the covariate is actually log RR",NA,NA,NA,NA,NA,NA,NA,NA,"291229.0",NA,NA,NA,NA,NA,"Sweden","Yes",NA,NA,156,0.624,"Rules-based (Section 2 published pg 4)","Rules-based (Section 2 published pg 4)",0.111,0.1,1,"1999.0",1999,"Sweden",0,NA,42.5686,0,3.25,4.11161290322581,-0.861612903225806,2,2,"Roed et al '08 OEP(Sweden)",0,0,0,-0.749275258389688,"nonemp",0.47,0.0900000000038298,5.222222222,1,TRUE
"51",44,41,1,"K Roed, T Zhang","Roed & Zhang '05 EER","Unemployment duration and economic incentives: a quasi random-assignment approach",2005,"European Economic Review",27.514,"https://www.sciencedirect.com/science/article/pii/S0014292104000595","RR",NA,NA,"cross-sectional",NA,NA,NA,"log-log","hazard",NA,-0.65,0.08,0.65,"Table 3 Column 1 and Text (pg 1823)","Given",NA,NA,NA,NA,NA,0.3,"Text (pg 1823), no SEs provided",NA,"65803.0",NA,NA,NA,NA,NA,"Unique","Yes",NA,19,173,0.52,"Rules-based (Section 2 published pg 1802)","Sample-based (Table 1)",NA,NA,1,"1992-1997",1994,"Norway",0,NA,35.95625,0,5.35,4.11161290322581,1.23838709677419,1,1,"Roed & Zhang '05 EER(NA)",0,0,0,-0.391611425752519,"nonemp",0.65,0.08,8.125,1,TRUE
"52",46,44,1,"KP Classen","Classen '77 ILRR","The effect of unemployment insurance on the duration of unemployment and subsequent earnings",1977,"ILR Review",5.387,"https://www.jstor.org/stable/2523101","RR",NA,NA,"cross-sectional",NA,"15.0","$ in max WBA",NA,NA,NA,NA,NA,NA,"Table 2 Column 1",NA,"level-level","duration",NA,"0.11",0.01899827288,0.4459459459,"Table 2 Column 1","Change in max WBA was 15 from 45. Extrapolate partial effect to elasticity using that.","3235.0",NA,NA,NA,NA,NA,"Unique","Yes",NA,11.1,30,0.5,"Rules-based (published pg 439 notes 80% of sample's claimants received the max PBD but does not note sample average)","External data (DOL ETA for Pennsylvania in 1968)",NA,NA,0,"1968.0",1968,"USA",1,"PA",28.40886,0,3.55833333333333,6.12299382716049,-2.56466049382716,1,1,"Classen '77 ILRR(NA)",0,0,0,-0.987009230805381,"claimed",0.4459459459,0.0770200251986183,5.79,0,FALSE
"53",48,44,1,"LF Katz, BD Meyer","Katz & Meyer '90 JPubEc","The impact of the potential duration of unemployment benefits on the duration of unemployment",1990,"Journal of Public Economics",37.117,"https://www.sciencedirect.com/science/article/pii/004727279290056L","RR",NA,NA,"cross-sectional",NA,NA,NA,NA,NA,0.15,NA,NA,0.82,"Table 3 Column 1 Rows 1 and 2","Scale given percentage change by 10% change row","log-level","hazard",0.11,"-0.0053",0.0014,0.66,"Table 3 Column 2 Rows 1 and 2","Scale given percentage change by 10% change row","3365.0",NA,NA,NA,NA,NA,"Applies to both PBD and RR","Yes",NA,NA,34.3,0.6123058542,"Sample-based, drawn from Moffitt 1985 using same data (Section 4 published pg 57)","Sample-based, drawn from Moffitt 1985 using same data (Section 4 published pg 57)",NA,NA,1,"1978-1983",1980,"USA",1,"12 states (GA, ID, LA, MO, NM, NY, NC, PA, SC, VT, WA, WI)",28.40886,0,7.175,6.12299382716049,1.05200617283951,1,1,"Katz & Meyer '90 JPubEc(NA)",0,0,0,-0.133211953527516,"claimed",0.66,0.174339622628352,3.785714286,1,FALSE
